eoi,year,observed,prediction,n,n_sampled,stratum,method,protocol
SK0039A,2024,1.0412450381679388,1.0406394033816795,131,131,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0039A,2025,1.1465474860335196,1.1664043986089385,179,179,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0045A,2024,0.5517336538461538,0.46903488883653843,104,104,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0045A,2025,0.4586486486486486,0.4653190847702703,74,74,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0048A,2024,0.19027164179104478,0.22000508310074626,134,134,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0048A,2025,0.19674789915966387,0.2957657257672269,119,119,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0050A,2024,0.9373400000000001,0.933060840260606,165,165,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0050A,2025,0.855475,0.848064098375,120,120,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0061A,2024,0.3596550458715596,0.33842652018348623,109,109,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0061A,2025,0.28588617886178863,0.38604910087317074,123,123,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0066A,2024,1.408934328358209,1.3826458872910448,134,134,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0066A,2025,1.2047874015748032,1.0273694344960629,127,127,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0070A,2024,2.183129166666667,2.2294719567291668,96,96,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0070A,2025,1.8754318181818184,1.7588068735681817,88,88,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0071A,2024,2.0584204918032785,2.0001057954508195,122,122,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0071A,2025,1.5632685185185184,1.5118976603055556,108,108,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0076A,2024,0.49729646017699114,0.364383201661062,113,113,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0076A,2025,0.39205555555555555,0.428674597812037,108,108,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0078A,2024,2.155560344827586,2.159832292887931,116,116,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0078A,2025,2.0732371134020617,2.040168580402062,97,97,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0214A,2024,1.0126264462809917,1.1185684349586777,121,121,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0214A,2025,1.1335981308411216,1.0369966826448598,107,107,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0263A,2024,0.7357486725663717,0.7826599151150443,113,113,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0263A,2025,0.7383177570093458,0.7088904015981309,107,107,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0265A,2024,1.7921026785714285,1.754990241080357,112,112,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0265A,2025,1.9814957264957265,1.843769043059829,117,117,higher,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0269A,2024,0.5201866071428571,0.4746034255803572,112,112,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0269A,2025,0.46375714285714287,0.46286720309285717,140,140,lower,G_PLUS_P|log1p|uniform|permissive|500m,block30
SK0002A,2024,0.48551416666666664,0.6927199626308334,120,120,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0002A,2025,0.3338931297709924,0.5175694760381679,131,131,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0004R,2024,0.2383132530120482,0.45474781956626503,166,166,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0004R,2025,0.23638787878787879,0.5174774064052121,165,165,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0006R,2024,0.2191146551724138,0.4731781485741379,116,116,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0006R,2025,0.30306722689075627,0.48506015888235293,119,119,lower,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0008A,2024,1.7399993589743592,2.0752608778269233,156,156,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0008A,2025,1.419208,1.677138058168,125,125,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0018A,2024,6.173277118644068,0.6943903922657627,118,118,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0018A,2025,5.750974789915967,0.7795567666204202,119,119,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0020A,2024,1.3145647540983607,0.9853071449672132,122,122,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0020A,2025,1.554148514851485,1.1002016016633662,101,101,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0025A,2024,3.4843,2.980483855305785,121,121,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0025A,2025,2.374333333333333,2.117851683850877,114,114,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0039A,2024,1.0412450381679388,1.237463189793893,131,131,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
SK0039A,2025,1.1465474860335196,1.4454382573519553,179,179,higher,G_PLUS_P|log1p|uniform|permissive|500m,loso
