method,protocol,estimand,support,period,scope,n,n_stations,RMSE,MAE,bias,agreement_R2
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2369,10,1.0101145917812009,0.5124515076538625,-0.0004034868138455021,0.8372494615806141
G_PLUS_P|log1p|uniform|permissive|500m,season_year_out,daily,all_expected_targets,primary_2024_2025,nonindustrial_lower,2379,10,0.4025062992840822,0.17768690816205968,0.017590905367490542,0.6978879911061111
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,all_period,all_network,5089,21,1.450011682200291,0.5071419436317547,-0.04309592730713303,0.6734461220134735
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,all_period,nonindustrial,4852,20,0.8098333764616926,0.367116616014427,0.017235922335943937,0.8278066218961919
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,all_period,industrial_descriptive,237,1,5.63207633620357,3.373820802700422,-1.278244174008439,0.1521216206197853
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,all_period,nonindustrial_higher,2394,10,1.0665967454243683,0.5439600220568087,0.012673761879699253,0.8212013388603173
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,all_period,nonindustrial_lower,2458,10,0.43194487213976107,0.1948777575663141,0.02167929586411717,0.6602332034382876
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,primary_2024_2025,all_network,5089,21,1.450011682200291,0.5071419436317547,-0.04309592730713303,0.6734461220134735
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,primary_2024_2025,nonindustrial,4852,20,0.8098333764616926,0.367116616014427,0.017235922335943937,0.8278066218961919
G_PLUS_P|log1p|uniform|permissive|500m,year_out,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,237,1,5.63207633620357,3.373820802700422,-1.278244174008439,0.1521216206197853
