method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,0.04054771605676896,0.010800450868052317,0.07852243693342689,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.02894594180659038,-0.04341977028131006,-0.014939296439311932,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.02786953561540384,-0.04326451979792021,-0.013511459831139636,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,0.024902742217871903,0.007244814981271858,0.04352710924546947,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.04108143392772652,-0.061860435666861294,-0.02074582792679858,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.042810091596417216,-0.06625245115761143,-0.01864020364020363,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,0.053574725168354556,0.031378169522056826,0.07608505932351145,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.011298226464021496,-0.022969006654287787,7.123520676500139e-05,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.012928979634390506,-0.02609485266690102,-0.00046957782442128763,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc
G_PLUS_P|log1p|uniform|permissive|500m,G|log1p|uniform|permissive|500m,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_lower,primary_2024_2025,bias,ng m-3,a_minus_b,-0.0037692407326107387,-0.021365227439098567,0.010229781116763181,20,10,1,station,20260921,2000,670d7f6c2b4a419dd7125e6759a5a484d1cc22269df900a9e6b8100ba467cbdc
