method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256,n_station_years,n_reconstructions
G_PLUS_P,HARMONIC,dispersed_mod9,daily,common_bracketable,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.2610356456210092,-0.35511367104993274,-0.17497856591043628,4830,20,1,station,20260921,2000,65ee804fd05f6dd37764a755c988da2c0e677a3a4efc91304bf32cf63ecb3775,,
G_PLUS_P,HARMONIC,dispersed_mod9,daily,common_bracketable,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.03552051454831918,-0.0745525949761869,-0.0022266156633517294,4830,20,1,station,20260921,2000,65ee804fd05f6dd37764a755c988da2c0e677a3a4efc91304bf32cf63ecb3775,,
G_PLUS_P,HARMONIC,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.00143228678918228,-0.02030291008640845,0.008426628256698189,378,21,1,station,20260921,2000,c558913d93016eab3c3970ab4e8280b575332b339b25456a6ef9b1d60763b854,42.0,378.0
G_PLUS_P,HARMONIC,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.00897192927226034,-0.014449167812924012,-0.0037065923943311843,378,21,1,station,20260921,2000,c558913d93016eab3c3970ab4e8280b575332b339b25456a6ef9b1d60763b854,42.0,378.0
G_PLUS_P,HARMONIC,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.010188540073883158,-0.02330075743486796,-0.001432606991872529,378,21,1,station,20260921,2000,c558913d93016eab3c3970ab4e8280b575332b339b25456a6ef9b1d60763b854,42.0,378.0
G_PLUS_P,HARMONIC,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.016191018080743483,-0.0215038269959224,-0.010184350734881125,360,20,1,station,20260921,2000,3e0ef5473342981884636471b6f5432f930a746d511ac18b3775e8a4f524d2af,40.0,360.0
G_PLUS_P,HARMONIC,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.010176954399423361,-0.01529994444334344,-0.005586191623768513,360,20,1,station,20260921,2000,3e0ef5473342981884636471b6f5432f930a746d511ac18b3775e8a4f524d2af,40.0,360.0
G_PLUS_P,HARMONIC,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.004401400116786011,-0.00892478442808659,-0.0004183261229288157,360,20,1,station,20260921,2000,3e0ef5473342981884636471b6f5432f930a746d511ac18b3775e8a4f524d2af,40.0,360.0
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,daily,common_bracketable,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.559238814130939,-0.7236715271828685,-0.43767995673820137,5066,21,1,station,20260921,2000,1f7396fddbe1f06a63cffab833b0854bdf33f84b295f0c3534f07e9651d5a267,,
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,daily,common_bracketable,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.29957358107045956,-0.4691130688475357,-0.17025241331091137,5066,21,1,station,20260921,2000,1f7396fddbe1f06a63cffab833b0854bdf33f84b295f0c3534f07e9651d5a267,,
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,daily,common_bracketable,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.08973291297047445,-0.23105570286107208,-0.007372585918331139,5066,21,1,station,20260921,2000,1f7396fddbe1f06a63cffab833b0854bdf33f84b295f0c3534f07e9651d5a267,,
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,daily,common_bracketable,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.5653239421429826,-0.724775568340167,-0.4015668551155875,4830,20,1,station,20260921,2000,65ee804fd05f6dd37764a755c988da2c0e677a3a4efc91304bf32cf63ecb3775,,
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,daily,common_bracketable,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.23201896167213498,-0.32432586177277817,-0.1530332569468856,4830,20,1,station,20260921,2000,65ee804fd05f6dd37764a755c988da2c0e677a3a4efc91304bf32cf63ecb3775,,
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,daily,common_bracketable,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.023593314677113505,-0.04688490881181795,-0.0029853726865732514,4830,20,1,station,20260921,2000,65ee804fd05f6dd37764a755c988da2c0e677a3a4efc91304bf32cf63ecb3775,,
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.008923483726249612,-0.019780940873993468,-0.0059757309106767,378,21,1,station,20260921,2000,c558913d93016eab3c3970ab4e8280b575332b339b25456a6ef9b1d60763b854,42.0,378.0
G_PLUS_P,INTERP_LINEAR,dispersed_mod9,foldwise_sampled_mean_recovery,common_bracketable_replacements,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.010366343954099851,-0.015134307303463832,-0.005906612904022707,378,21,1,station,20260921,2000,c558913d93016eab3c3970ab4e8280b575332b339b25456a6ef9b1d60763b854,42.0,378.0
